Account Number,Assessment Year,Suite,House Number,Street Name,Legal Description,Latitude,Longitude,Point Location,Neighbourhood,Actual Year Built,Garage,Zoning,Lot Size,Assessed Value,Assessment Class 1,Assessment Class % 1,Assessment Class 2,Assessment Class % 2,Assessment Class 3,Assessment Class % 3
1001197,2016,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RIVERVIEW AREA,1987.0,Y,RR,10056.116,1453500.0,RESIDENTIAL,100.0,,,,
1001197,2017,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RIVER'S EDGE,1987.0,Y,RR,10056.116,1524000.0,RESIDENTIAL,100.0,,,,
1001197,2018,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RIVER'S EDGE,1987.0,Y,RR,10056.116,1652500.0,RESIDENTIAL,100.0,,,,
1001197,2019,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RIVER'S EDGE,1987.0,Y,RR,10056.116,1459500.0,RESIDENTIAL,100.0,,,,
1001197,2020,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RIVER'S EDGE,1987.0,Y,RR,10056.116,1281500.0,RESIDENTIAL,100.0,,,,
1001197,2021,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RIVER'S EDGE,1987.0,Y,RR,10056.116,1150500.0,RESIDENTIAL,100.0,,,,
1001197,2022,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RIVER'S EDGE,1987.0,Y,RR,10056.116,1274500.0,RESIDENTIAL,100.0,,,,
1001197,2023,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RIVER'S EDGE,1987.0,Y,RR,10056.116,1205500.0,RESIDENTIAL,100.0,,,,
1001221,2012,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RURAL WEST,2002.0,Y,RR,10049.662,1260500.0,RESIDENTIAL,100.0,,,,
1001221,2013,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RURAL WEST,2002.0,Y,RR,10049.662,1217500.0,RESIDENTIAL,100.0,,,,
1001221,2014,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RURAL WEST,2002.0,Y,RR,10049.662,1476000.0,RESIDENTIAL,100.0,,,,
1001221,2015,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RIVERVIEW AREA,2002.0,Y,RR,10049.662,1361500.0,RESIDENTIAL,100.0,,,,
1001221,2016,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RIVERVIEW AREA,2002.0,Y,RR,10049.662,1440000.0,RESIDENTIAL,100.0,,,,
1001221,2017,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RIVER'S EDGE,2002.0,Y,RR,10049.662,1452500.0,RESIDENTIAL,100.0,,,,
1001221,2018,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RIVER'S EDGE,2002.0,Y,RR,10049.662,1623500.0,RESIDENTIAL,100.0,,,,
1001221,2019,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RIVER'S EDGE,2002.0,Y,RR,10049.662,1366000.0,RESIDENTIAL,100.0,,,,
1001221,2020,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RIVER'S EDGE,2002.0,Y,RR,10049.662,1187000.0,RESIDENTIAL,100.0,,,,
1001221,2021,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RIVER'S EDGE,2002.0,Y,RR,10049.662,1152000.0,RESIDENTIAL,100.0,,,,
1001221,2022,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RIVER'S EDGE,2002.0,Y,RR,10049.662,1271000.0,RESIDENTIAL,100.0,,,,
1001221,2023,,18421.0,17 AVENUE NW,Plan: 660TR  Lot: C,53.44685,-113.64172,POINT (-113.64172 53.44685),RIVER'S EDGE,2002.0,Y,RR,10049.662,1216500.0,RESIDENTIAL,100.0,,,,
1001254,2012,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RURAL WEST,2005.0,Y,RR,10041.781,1346500.0,RESIDENTIAL,100.0,,,,
1001254,2013,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RURAL WEST,2005.0,Y,RR,10041.781,1274500.0,RESIDENTIAL,100.0,,,,
1001254,2014,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RURAL WEST,2005.0,Y,RR,10041.781,1382000.0,RESIDENTIAL,100.0,,,,
1001254,2015,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RIVERVIEW AREA,2005.0,Y,RR,10041.781,1449500.0,RESIDENTIAL,100.0,,,,
1001254,2016,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RIVERVIEW AREA,2005.0,Y,RR,10041.781,1515500.0,RESIDENTIAL,100.0,,,,
1001254,2017,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RIVER'S EDGE,2005.0,Y,RR,10041.781,1539500.0,RESIDENTIAL,100.0,,,,
1001254,2018,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RIVER'S EDGE,2005.0,Y,RR,10041.781,1741500.0,RESIDENTIAL,100.0,,,,
1001254,2019,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RIVER'S EDGE,2005.0,Y,RR,10041.781,1692000.0,RESIDENTIAL,100.0,,,,
1001254,2020,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RIVER'S EDGE,2005.0,Y,RR,10041.781,1454500.0,RESIDENTIAL,100.0,,,,
1001254,2021,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RIVER'S EDGE,2005.0,Y,RR,10041.781,1380500.0,RESIDENTIAL,100.0,,,,
1001254,2022,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RIVER'S EDGE,2005.0,Y,RR,10041.781,1530000.0,RESIDENTIAL,100.0,,,,
1001254,2023,,18425.0,17 AVENUE NW,Plan: 660TR  Lot: D,53.44694,-113.64252,POINT (-113.64252 53.44694),RIVER'S EDGE,2005.0,Y,RR,10041.781,1457000.0,RESIDENTIAL,100.0,,,,
1001601,2012,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RURAL WEST,1976.0,Y,RR,5178.927,748500.0,RESIDENTIAL,100.0,,,,
1001601,2013,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RURAL WEST,1976.0,Y,RR,5178.927,742500.0,RESIDENTIAL,100.0,,,,
1001601,2014,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RURAL WEST,1976.0,Y,RR,5178.927,839000.0,RESIDENTIAL,100.0,,,,
1001601,2015,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RIVERVIEW AREA,1976.0,Y,RR,5178.927,956500.0,RESIDENTIAL,100.0,,,,
1001601,2016,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RIVERVIEW AREA,1970.0,Y,RR,5178.927,904500.0,RESIDENTIAL,100.0,,,,
1001601,2017,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RIVER'S EDGE,1970.0,Y,RR,5178.927,820500.0,RESIDENTIAL,100.0,,,,
1001601,2018,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RIVER'S EDGE,1970.0,Y,RR,5178.927,969000.0,RESIDENTIAL,100.0,,,,
1001601,2019,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RIVER'S EDGE,1970.0,Y,RR,5178.927,882000.0,RESIDENTIAL,100.0,,,,
1001601,2020,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RIVER'S EDGE,1970.0,Y,RR,5178.927,713500.0,RESIDENTIAL,100.0,,,,
1001601,2021,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RIVER'S EDGE,1970.0,Y,RR,5178.927,694000.0,RESIDENTIAL,100.0,,,,
1001601,2022,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RIVER'S EDGE,1970.0,Y,RR,5178.927,737500.0,RESIDENTIAL,100.0,,,,
1001601,2023,,3.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 1,53.45708,-113.63909,POINT (-113.63909 53.45708),RIVER'S EDGE,1970.0,Y,RR,5178.927,703000.0,RESIDENTIAL,100.0,,,,
1001635,2012,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RURAL WEST,1970.0,Y,RR,5666.719,518500.0,RESIDENTIAL,100.0,,,,
1001635,2013,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RURAL WEST,1970.0,Y,RR,5666.719,562500.0,RESIDENTIAL,100.0,,,,
1001635,2014,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RURAL WEST,1970.0,Y,RR,5666.719,484500.0,RESIDENTIAL,100.0,,,,
1001635,2015,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RIVERVIEW AREA,1970.0,Y,RR,5666.719,504500.0,RESIDENTIAL,100.0,,,,
1001635,2016,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RIVERVIEW AREA,1970.0,Y,RR,5666.719,514500.0,RESIDENTIAL,100.0,,,,
1001635,2017,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RIVER'S EDGE,1970.0,Y,RR,5666.719,459000.0,RESIDENTIAL,100.0,,,,
1001635,2018,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RIVER'S EDGE,1970.0,Y,RR,5666.719,453500.0,RESIDENTIAL,100.0,,,,
1001635,2019,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RIVER'S EDGE,1970.0,Y,RR,5666.719,492000.0,RESIDENTIAL,100.0,,,,
1001635,2020,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RIVER'S EDGE,1970.0,Y,RR,5666.719,552500.0,RESIDENTIAL,100.0,,,,
1001635,2021,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RIVER'S EDGE,1970.0,Y,RR,5666.719,523000.0,RESIDENTIAL,100.0,,,,
1001635,2022,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RIVER'S EDGE,1970.0,Y,RR,5666.719,597000.0,RESIDENTIAL,100.0,,,,
1001635,2023,,7.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 2,53.45719,-113.63839,POINT (-113.63839 53.45719),RIVER'S EDGE,1970.0,Y,RR,5666.719,589500.0,RESIDENTIAL,100.0,,,,
1001668,2012,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RURAL WEST,2006.0,Y,RR,7004.983,1020000.0,RESIDENTIAL,100.0,,,,
1001668,2013,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RURAL WEST,2006.0,Y,RR,7004.983,1067000.0,RESIDENTIAL,100.0,,,,
1001668,2014,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RURAL WEST,2006.0,Y,RR,7004.983,1158000.0,RESIDENTIAL,100.0,,,,
1001668,2015,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RIVERVIEW AREA,2006.0,Y,RR,7004.983,1342500.0,RESIDENTIAL,100.0,,,,
1001668,2016,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RIVERVIEW AREA,2006.0,Y,RR,7004.983,1428500.0,RESIDENTIAL,100.0,,,,
1001668,2017,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RIVER'S EDGE,2006.0,Y,RR,7004.983,1283500.0,RESIDENTIAL,100.0,,,,
1001668,2018,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RIVER'S EDGE,2006.0,Y,RR,7004.983,1274500.0,RESIDENTIAL,100.0,,,,
1001668,2019,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RIVER'S EDGE,2006.0,Y,RR,7004.983,1429500.0,RESIDENTIAL,100.0,,,,
1001668,2020,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RIVER'S EDGE,2006.0,Y,RR,7004.983,1339500.0,RESIDENTIAL,100.0,,,,
1001668,2021,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RIVER'S EDGE,2006.0,Y,RR,7004.983,1361000.0,RESIDENTIAL,100.0,,,,
1001668,2022,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RIVER'S EDGE,2006.0,Y,RR,7004.983,1517000.0,RESIDENTIAL,100.0,,,,
1001668,2023,,11.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 3,53.45712,-113.63776,POINT (-113.63776 53.45712),RIVER'S EDGE,2006.0,Y,RR,7004.983,1484500.0,RESIDENTIAL,100.0,,,,
1001692,2012,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RURAL WEST,1977.0,Y,RR,5777.442,707500.0,RESIDENTIAL,100.0,,,,
1001692,2013,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RURAL WEST,1977.0,Y,RR,5777.442,723000.0,RESIDENTIAL,100.0,,,,
1001692,2014,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RURAL WEST,1977.0,Y,RR,5777.442,762500.0,RESIDENTIAL,100.0,,,,
1001692,2015,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RIVERVIEW AREA,1977.0,Y,RR,5777.442,850000.0,RESIDENTIAL,100.0,,,,
1001692,2016,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RIVERVIEW AREA,1977.0,Y,RR,5777.442,856500.0,RESIDENTIAL,100.0,,,,
1001692,2017,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RIVER'S EDGE,1977.0,Y,RR,5777.442,774000.0,RESIDENTIAL,100.0,,,,
1001692,2018,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RIVER'S EDGE,1977.0,Y,RR,5777.442,864500.0,RESIDENTIAL,100.0,,,,
1001692,2019,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RIVER'S EDGE,1977.0,Y,RR,5777.442,801000.0,RESIDENTIAL,100.0,,,,
1001692,2020,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RIVER'S EDGE,1977.0,Y,RR,5777.442,707500.0,RESIDENTIAL,100.0,,,,
1001692,2021,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RIVER'S EDGE,1977.0,Y,RR,5777.442,697500.0,RESIDENTIAL,100.0,,,,
1001692,2022,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RIVER'S EDGE,1977.0,Y,RR,5777.442,748500.0,RESIDENTIAL,100.0,,,,
1001692,2023,,15.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 4,53.45674,-113.63739,POINT (-113.63739 53.45674),RIVER'S EDGE,1977.0,Y,RR,5777.442,791000.0,RESIDENTIAL,100.0,,,,
1001759,2012,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RURAL WEST,1997.0,Y,RR,4254.954,625000.0,RESIDENTIAL,100.0,,,,
1001759,2013,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RURAL WEST,1997.0,Y,RR,4254.954,711500.0,RESIDENTIAL,100.0,,,,
1001759,2014,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RURAL WEST,1997.0,Y,RR,4254.954,679500.0,RESIDENTIAL,100.0,,,,
1001759,2015,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RIVERVIEW AREA,1997.0,Y,RR,4254.954,779000.0,RESIDENTIAL,100.0,,,,
1001759,2016,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RIVERVIEW AREA,1997.0,Y,RR,4254.954,736000.0,RESIDENTIAL,100.0,,,,
1001759,2017,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RIVER'S EDGE,1997.0,Y,RR,4254.954,718000.0,RESIDENTIAL,100.0,,,,
1001759,2018,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RIVER'S EDGE,1997.0,Y,RR,4254.954,713000.0,RESIDENTIAL,100.0,,,,
1001759,2019,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RIVER'S EDGE,1997.0,Y,RR,4254.954,720000.0,RESIDENTIAL,100.0,,,,
1001759,2020,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RIVER'S EDGE,1997.0,Y,RR,4254.954,717500.0,RESIDENTIAL,100.0,,,,
1001759,2021,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RIVER'S EDGE,1997.0,Y,RR,4254.954,717500.0,RESIDENTIAL,100.0,,,,
1001759,2022,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RIVER'S EDGE,1997.0,Y,RR,4254.954,771500.0,RESIDENTIAL,100.0,,,,
1001759,2023,,21.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 6,53.4564,-113.637,POINT (-113.637 53.4564),RIVER'S EDGE,1997.0,Y,RR,4254.954,794000.0,RESIDENTIAL,100.0,,,,
1001783,2012,,23.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 7,53.45616,-113.63678,POINT (-113.63678 53.45616),RURAL WEST,1977.0,Y,RR,4378.52,577000.0,RESIDENTIAL,100.0,,,,
1001783,2013,,23.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 7,53.45616,-113.63678,POINT (-113.63678 53.45616),RURAL WEST,1977.0,Y,RR,4378.52,637000.0,RESIDENTIAL,100.0,,,,
1001783,2014,,23.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 7,53.45616,-113.63678,POINT (-113.63678 53.45616),RURAL WEST,1977.0,Y,RR,4378.52,608000.0,RESIDENTIAL,100.0,,,,
1001783,2015,,23.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 7,53.45616,-113.63678,POINT (-113.63678 53.45616),RIVERVIEW AREA,1977.0,Y,RR,4378.52,713000.0,RESIDENTIAL,100.0,,,,
1001783,2016,,23.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 7,53.45616,-113.63678,POINT (-113.63678 53.45616),RIVERVIEW AREA,1977.0,Y,RR,4378.52,663000.0,RESIDENTIAL,100.0,,,,
1001783,2017,,23.0,RIVER HEIGHTS DRIVE NW,Plan: 3502MC  Lot: 7,53.45616,-113.63678,POINT (-113.63678 53.45616),RIVER'S EDGE,1977.0,Y,RR,4378.52,637000.0,RESIDENTIAL,100.0,,,,
